x,y
0,6
31,6
62,11
93,22
122,39
154,66
269,203
356,354
407,494
432,635
432,766
420,836
401,890
379,929
344,971
321,990
291,1007
259,1018
290,1018
322,1024
354,1036
386,1054
417,1080
450,1119
543,1280
598,1431
622,1566
622,1712
600,1837
579,1895
551,1943
523,1976
495,2000
451,2025
422,2036
392,2041
425,2041
456,2046
487,2057
519,2076
552,2104
584,2142
666,2284
728,2454
752,2592
752,2711
727,2851
682,2974
642,3043
610,3081
577,3109
545,3128
510,3141
476,3147
405,3147
435,3147
467,3153
510,3169
541,3187
574,3215
607,3255
639,3310
703,3484
729,3629
729,3745
710,3854
661,3989
598,4099
543,4164
505,4196
474,4214
441,4226
407,4232
375,4232
346,4227
377,4227
407,4232
440,4244
470,4261
503,4289
536,4329
572,4392
607,4488
634,4641
634,4788
616,4888
585,4974
531,5068
439,5177
319,5278
149,5376
22,5422
-57,5436
-112,5436
-156,5428
-191,5415
-214,5402
-234,5386
-250,5367
-220,5367
-197,5371
-171,5380
-147,5394
-118,5418
-87,5454
-53,5513
-19,5607
8,5758
8,5920
-7,6006
-34,6081
-79,6159
-165,6261
-280,6358
-389,6421
-507,6464
-574,6476
-625,6476
-674,6467
-707,6455
-733,6440
-753,6423
-773,6399
-746,6399
-719,6404
-693,6413
-668,6427
-646,6445
-624,6471
-597,6518
-567,6601
-553,6683
-553,6758
-567,6838
-600,6929
-659,7031
-760,7151
-846,7223
-943,7279
-1001,7300
-1046,7308
-1082,7308
-1114,7302
-1158,7286
-1182,7272
-1204,7253
-1097,7253
-1069,7258
-1044,7267
-1021,7281
-996,7302
-969,7334
-947,7372
-920,7447
-893,7601
-893,7673
-906,7746
-932,7819
-974,7891
-1044,7974
-1136,8051
-1225,8102
-1341,8144
-1445,8162
-1525,8162
-1571,8154
-1603,8142
-1631,8126
-1651,8109
-1667,8090
-1678,8071
-1654,8071
-1629,8075
-1604,8084
-1582,8097
-1547,8127
-1523,8155
-1497,8201
-1475,8262
-1447,8422
-1447,8492
-1460,8563
-1485,8632
-1523,8698
-1584,8771
-1659,8834
-1739,8880
-1810,8906
-1925,8926
-2022,8926
-2081,8916
-2139,8895
-2169,8878
-2191,8859
-2207,8840
-2218,8821
-2226,8800
-2204,8800
-2181,8804
-2159,8812
-2136,8825
-2112,8845
-2087,8875
-2062,8918
-2035,8993
-2005,9164
-2005,9243
-2018,9315
-2043,9383
-2079,9445
-2179,9564
-2248,9622
-2322,9665
-2415,9699
-2478,9710
-2562,9710
-2667,9692
-2765,9656
-2818,9626
-2853,9597
-2884,9560
-2912,9512
-2921,9486
-2925,9461
-2925,9439
-2903,9439
-2879,9443
-2854,9452
-2833,9464
-2811,9483
-2789,9509
-2764,9551
-2737,9624
-2704,9809
-2704,9893
-2717,9968
-2742,10037
-2784,10109
-2835,10170
-2903,10227
-2950,10254
-3005,10274
-3086,10288
-3188,10288
-3243,10278
-3279,10265
-3309,10248
-3334,10227
-3361,10195
-3397,10133
-3451,9984
-3404,9984
-3372,9990
-3351,9998
-3325,10013
-3297,10036
-3267,10072
-3228,10139
-3166,10309
-3150,10399
-3150,10480
-3164,10557
-3193,10635
-3250,10733
-3298,10790
-3360,10842
-3395,10862
-3443,10879
-3505,10890
-3577,10890
-3686,10871
-3739,10852
-3774,10832
-3798,10812
-3816,10791
-3829,10769
-3838,10745
